START_DATE,END_DATE,CITY,COUNTRY,N_ROWS,LAST_MOMENT,MIN_NIGHTS,MAX_NIGHTS,LATITUDE,LONGITUDE
9/1/1975,9/1/1975,Edinburgh,Scotland,1,Probably that night,0,1,55.9533456,-3.1883749
9/7/1975,9/7/1975,Glasgow,Scotland,1,Probably that night,0,1,55.861155,-4.2501687
9/16/1975,9/16/1975,Madrid,Spain,1,Probably that night,0,1,40.4167047,-3.7035825
9/22/1975,9/22/1975,Amsterdam,Holland,1,Probably that night,0,1,52.3730796,4.8924534
10/17/1975,10/17/1975,Vienna,Austria,1,Probably that night,0,1,48.2083537,16.3725042
10/20/1975,10/20/1975,Zurich,Switzerland,1,Probably that night,0,1,47.3744489,8.5410422
10/21/1975,10/21/1975,Lugano,Switzerland,1,Probably that night,0,1,46.0050102,8.9520281
10/23/1975,10/23/1975,Lausanne,Switzerland,1,Probably that night,0,1,46.5218269,6.6327025
10/24/1975,10/24/1975,Basel,Switzerland,1,Probably that night,0,1,47.5581077,7.5878261
10/25/1975,10/25/1975,Bregenz,Austria,1,Probably that night,0,1,47.5025779,9.7472924
10/26/1975,10/26/1975,Gallen,Switzerland,1,Probably that night,0,1,51.4312285,12.5495463
10/27/1975,10/27/1975,Geneva,Switzerland,1,Probably that night,0,1,46.2017559,6.1466014
10/29/1975,10/29/1975,The Hague,Netherlands,1,Probably that night,0,1,52.0799838,4.3113461
11/1/1975,11/1/1975,New York,New York,1,Probably that night,0,1,40.7127281,-74.0060152
11/17/1975,11/17/1975,Brooklin,New York,1,Probably that night,0,1,40.691392,-73.982469
12/1/1975,12/1/1975,London,United Kingdom,1,Probably that night,0,1,51.5074456,-0.1277653
12/3/1975,12/3/1975,Manchester,United Kingdom,1,Probably that night,0,1,53.4794892,-2.2451148
12/4/1975,12/4/1975,London,United Kingdom,1,Probably that night,0,1,51.5074456,-0.1277653
12/8/1975,12/8/1975,New York,New York,1,Probably that night,0,1,40.7127281,-74.0060152
12/31/1975,12/31/1975,London,United Kingdom,1,Probably that night,0,1,51.5074456,-0.1277653
1/12/1976,1/12/1976,Paris,France,1,Probably that night,0,1,48.8588897,2.320041022
2/15/1976,2/15/1976,Los Angeles,California,1,Probably that night,0,1,34.0536909,-118.242766
