DATE,CITY1,COUNTRY1,CITY2,COUNTRY2,WORKING,HOTEL_ADDRESS,VENUE1,VENUE_TYPE1,VENUE2,VENUE_TYPE2,NOTES,SOURCE
1955-01-01 00:00:00,Moscow,Russia,,,y,,DEKADA - Bashkirian Decade of Literature & Art,,,,,
1955-08-24 00:00:00,Leningrad,Russia,,,y,,,,,,,
1956-01-01 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1956-02-01 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1956-03-01 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1956-04-01 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1956-05-01 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1956-06-01 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1956-11-26 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1957-06-27 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1957-11-27 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1958-02-15 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1958-02-19 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1958-03-02 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1958-04-21 00:00:00,Moscow,Russia,,,y,,MOSCOW COMPETITION,,,,,
1958-04-22 00:00:00,Moscow,Russia,,,y,,MOSCOW COMPETITION,,,,,
1958-05-21 00:00:00,Moscow,Russia,,,y,,MOSCOW COMPETITION,,,,,
1958-05-22 00:00:00,Moscow,Russia,,,y,,MOSCOW COMPETITION,,,,,
1958-06-19 00:00:00,Leningrad,Russia,,,y,,,,,,,
1958-06-24 00:00:00,Leningrad,Russia,,,y,,,,,,,
1958-06-24 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1958-06-29 00:00:00,Leningrad,Russia,,,y,,,,,,,
1958-10-25 00:00:00,Leningrad,Russia,,,y,,,,,,,
1958-11-20 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1958-12-31 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1959-03-13 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1959-03-25 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1959-04-07 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1959-05-10 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1959-05-13 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1959-05-25 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1959-06-19 00:00:00,Leningrad,Russia,,,y,,,,,,,
1959-06-28 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1959-07-26 00:00:00,Vienna,Austria,,,y,,"Raimundtheater, Konzerthaus, Ronacher, Raimundtheater, Stadthalle. Communist Youth Festival",,,,,
1959-08-04 00:00:00,Vienna,Austria,,,y,,"Raimundtheater, Konzerthaus, Ronacher, Raimundtheater, Stadthalle. Communist Youth Festival",,,,,
1959-12-21 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre (?),,,,,
1960-01-01 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre (?),,,,,
1960-01-01 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre (?),,,,,
1960-01-01 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre (?),,,,,
1960-03-11 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre (?),,,,,
1960-04-14 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre (?),,,,,
1960-05-08 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre (?),,,,,
1960-05-11 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre (?),,,,,
1960-05-19 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre (?),,,,,
1960-05-27 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre (?),,,,,
1960-06-01 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre (?),,,,,
1960-06-01 00:00:00,Leningrad,Russia,,,y,,Kirov Theater (?),,,,,
1960-06-18 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre (?),,,,,
1960-06-19 00:00:00,Leningrad,Russia,,,y,,,,,,,
1960-06-26 00:00:00,Moscow,Russia,,,y,,,,,,,
1960-06-30 00:00:00,Leningrad,Russia,,,y,,Kirov Theater (?),,,,,
1960-07-03 00:00:00,Leningrad,Russia,,,y,,Kirov Theater (?),,,,,
1960-07-07 00:00:00,Leningrad,Austria,,,y,,Kirov Theater (?),,,,,
1960-07-26 00:00:00,Vienna,Austria,,,y,,"Raimundtheater, Konzerthaus, Ronacher, Raimundtheater, Stadthalle. Communist Youth Festival",,,,,
1960-08-04 00:00:00,Vienna,Austria,,,y,,"Raimundtheater, Konzerthaus, Ronacher, Raimundtheater, Stadthalle. Communist Youth Festival",,,,,
1960-10-01 00:00:00,Berlin,Germany,,,y,,Berlin Festival,,,,,
1960-11-09 00:00:00,Leningrad,Russia,,,y,,Kirov Theater (?),,,,,
1960-11-10 00:00:00,Leningrad,Russia,,,y,,Kirov Theater (?),,,,,
1960-11-24 00:00:00,Leningrad,Russia,,,y,,Kirov Theater (?),,,,,
1960-12-01 00:00:00,North Russia,Russia,,,y,,,,,,,
1961-01-07 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre (?),,,,,
1961-01-26 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre (?),,,,,
1961-02-01 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1961-02-12 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1961-02-18 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre,,,,,
1961-02-21 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre (?),,,,,
1961-03-12 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre (?),,,,,
1961-04-01 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre (?),,,,,
1961-04-12 00:00:00,Leningrad,Russia,,,y,,Kirov Theater (?),,,,,
1961-04-16 00:00:00,Leningrad,Russia,,,y,,Kirov Theater (?),,,,,
1961-04-30 00:00:00,Leningrad,Russia,,,y,,Kirov Theater (?),,,,,
1961-04-30 00:00:00,Leningrad,Russia,,,y,,Kirov Theater (?),,,,,
1961-05-15 00:00:00,Paris,France,,,y,,Palais Garnier Opera House,,,,,
1961-05-16 00:00:00,Paris,France,,,y,,Palais Garnier Opera House,,,,,
1961-05-19 00:00:00,Leningrad,Russia,,,y,,Kirov Theatre (?),,,,,
1961-05-19 00:00:00,Paris,France,,,y,,Palais Garnier Opera House,,,,,
1961-06-01 00:00:00,Paris,France,,,y,,Palais des Sports,,,,,
1961-06-01 00:00:00,Paris,France,,,y,,Palais des Sports,,,,,
1961-06-10 00:00:00,Paris,France,,,y,,Palais des Sports,,,,,
1961-06-14 00:00:00,Paris,France,,,y,,Palais des Sports,,,,,
1961-06-15 00:00:00,Paris,France,,,y,,Palais des Sports,,,,,
1961-06-15 00:00:00,Paris,France,,,y,,Palais des Sports,,,,,
1961-06-15 00:00:00,Paris,France,,,y,,,,,,,
1961-06-23 00:00:00,Paris,France,,,y,,,,,,,
1961-06-30 00:00:00,Paris,France,,,y,,,,,,,
1961-07-26 00:00:00,Vienna,Austria,,,y,,"Raimundtheater, Konzerthaus, Ronacher, Raimundtheater, Stadthalle. Communist Youth Festival",,,,,
1961-07-29 00:00:00,Paris,France,,,y,,,,,,,
1961-08-01 00:00:00,Frankfurt,Germany,,,y,,,,,,,
1961-08-02 00:00:00,Frankfurt,Germany,,,y,,,,,,,
1961-08-04 00:00:00,Vienna,Austria,,,y,,"Raimundtheater, Konzerthaus, Ronacher, Raimundtheater, Stadthalle. Communist Youth Festival",,,,,
1961-08-12 00:00:00,Deauville,France,,,y,,,,,,,
1961-10-01 00:00:00,jerusalem,Israel,,,y,,,,,,,
1961-11-01 00:00:00,Hamburg,Germany,,,y,,,,,,,
1961-11-02 00:00:00,London,United Kingdom,,,y,,"Drury Lane Theatre, RAD Gala Matinee",,,,,
1961-11-02 00:00:00,London,United Kingdom,,,y,,"Drury Lane Theatre, RAD Gala Matinee",,,,,
1961-11-15 00:00:00,Turin,Italy,,,y,,,,,,,
1961-12-01 00:00:00,Genoa,Italy,,,y,,,,,,,
1961-12-08 00:00:00,Venice,Italy,,,y,,,,,,,
1961-12-15 00:00:00,Bologna,Italy,,,y,,,,,,,
1962-01-05 00:00:00,Marseille,France,,,y,,,,,,,
1962-01-06 00:00:00,Cannes,France,,,y,,"Cannes, Casino",,,,,
1962-01-06 00:00:00,Cannes,France,,,y,,"Cannes, Casino",,,,,
1962-01-06 00:00:00,Cannes,France,,,y,,"Cannes, Casino",,,,,
1962-01-06 00:00:00,Cannes,France,,,y,,"Cannes, Casino",,,,,
1962-01-06 00:00:00,Cannes,France,,,y,,"Cannes, Casino",,,,,
1962-01-10 00:00:00,London,United Kingdom,,,y,,"BBC-""Music in Camera""",,,,,
1962-01-12 00:00:00,Paris,France,,,y,,"Champs Elysees Theatre ""Deux Galas de Danse""",,,,,
1962-01-12 00:00:00,Paris,France,,,y,,,,,,,
1962-01-12 00:00:00,Paris,France,,,y,,,,,,,
1962-01-12 00:00:00,Paris,France,,,y,,,,,,,
1962-01-13 00:00:00,Paris,France,,,y,,"Champs Elysees Theatre ""Deux Galas de Danse""",,,,,
1962-01-13 00:00:00,Paris,France,,,y,,,,,,,
1962-01-13 00:00:00,Paris,France,,,y,,,,,,,
1962-01-13 00:00:00,Paris,France,,,y,,,,,,,
1962-01-13 00:00:00,Paris,France,,,y,,,,,,,
1962-01-19 00:00:00,New York,"New York, USA",,,y,,NBC-Bell Telephone Hour,,,,,
1962-02-21 00:00:00,London,United Kingdom,,,y,,Royal Opera House,,,,,
1962-03-01 00:00:00,London,United Kingdom,,,y,,Royal Opera House,,,,,
1962-03-06 00:00:00,London,United Kingdom,,,y,,Royal Opera House,,,,,
1962-03-10 00:00:00,New York,"New York, USA",,,y,,Brooklyn Academy of Music,,,,,
1962-05-03 00:00:00,London,United Kingdom,,,y,,"Royal Opera House,Benevolent fund Gala;",,,,,
1962-05-08 00:00:00,London,United Kingdom,,,y,,"Royal Opera House,Benevolent fund Gala;",,,,,
1962-05-10 00:00:00,London,United Kingdom,,,y,,"Royal Opera House,Benevolent fund Gala;",,,,,
1962-05-16 00:00:00,London,United Kingdom,,,y,,"Royal Opera House,Benevolent fund Gala;",,,,,
1962-05-17 00:00:00,London,United Kingdom,,,y,,Royal Opera House,,,,,
1962-05-19 00:00:00,London,United Kingdom,,,y,,"Royal Opera House,Benevolent fund Gala;",,,,,
