LATITUDE,LONGITUDE,ALTITUDE,GROUP,CITY,DATE
55.7505412,37.6174782,0,1,Moscow,"Jan 1, 1955"
55.7505412,37.6174782,0,1,Moscow,"Jan 1, 1955"
59.938732,30.316229,235,2,Leningrad,"Aug 24, 1955"
59.938732,30.316229,1156,2,Leningrad,"Mar 2, 1958"
55.7505412,37.6174782,1206,3,Moscow,"Apr 21, 1958"
55.7505412,37.6174782,1237,3,Moscow,"May 22, 1958"
59.938732,30.316229,1265,4,Leningrad,"Jun 19, 1958"
59.938732,30.316229,1639,4,Leningrad,"Jun 28, 1959"
48.2083537,16.3725042,1667,5,Vienna,"Jul 26, 1959"
48.2083537,16.3725042,1676,5,Vienna,"Aug 4, 1959"
59.938732,30.316229,1815,6,Leningrad,"Dec 21, 1959"
59.938732,30.316229,1996,6,Leningrad,"Jun 19, 1960"
55.7505412,37.6174782,2003,6,Moscow,"Jun 26, 1960"
55.7505412,37.6174782,2003,6,Moscow,"Jun 26, 1960"
59.938732,30.316229,2007,6,Leningrad,"Jun 30, 1960"
59.938732,30.316229,2014,6,Leningrad,"Jul 7, 1960"
48.2083537,16.3725042,2033,7,Vienna,"Jul 26, 1960"
48.2083537,16.3725042,2042,7,Vienna,"Aug 4, 1960"
52.510885,13.3989367,2100,8,Berlin,"Oct 1, 1960"
52.510885,13.3989367,2100,8,Berlin,"Oct 1, 1960"
59.938732,30.316229,2139,9,Leningrad,"Nov 9, 1960"
59.938732,30.316229,2154,9,Leningrad,"Nov 24, 1960"
40.2347473,-84.4071014,2161,9,North Russia,"Dec 1, 1960"
40.2347473,-84.4071014,2161,9,North Russia,"Dec 1, 1960"
59.938732,30.316229,2198,10,Leningrad,"Jan 7, 1961"
59.938732,30.316229,2311,10,Leningrad,"Apr 30, 1961"
48.8588897,2.320041022,2326,11,Paris,"May 15, 1961"
48.8588897,2.320041022,2327,11,Paris,"May 16, 1961"
59.938732,30.316229,2330,11,Leningrad,"May 19, 1961"
59.938732,30.316229,2330,11,Leningrad,"May 19, 1961"
48.8588897,2.320041022,2330,11,Paris,"May 19, 1961"
48.8588897,2.320041022,2372,11,Paris,"Jun 30, 1961"
48.2083537,16.3725042,2398,12,Vienna,"Jul 26, 1961"
48.2083537,16.3725042,2398,12,Vienna,"Jul 26, 1961"
48.8588897,2.320041022,2401,12,Paris,"Jul 29, 1961"
48.8588897,2.320041022,2401,12,Paris,"Jul 29, 1961"
50.1106444,8.6820917,2404,12,Frankfurt,"Aug 1, 1961"
50.1106444,8.6820917,2405,12,Frankfurt,"Aug 2, 1961"
48.2083537,16.3725042,2407,12,Vienna,"Aug 4, 1961"
48.2083537,16.3725042,2407,12,Vienna,"Aug 4, 1961"
49.36,0.0752778,2415,13,Deauville,"Aug 12, 1961"
49.36,0.0752778,2415,13,Deauville,"Aug 12, 1961"
31.7788242,35.2257626,2465,14,jerusalem,"Oct 1, 1961"
31.7788242,35.2257626,2465,14,jerusalem,"Oct 1, 1961"
53.550341,10.000654,2496,15,Hamburg,"Nov 1, 1961"
53.550341,10.000654,2496,15,Hamburg,"Nov 1, 1961"
51.5074456,-0.1277653,2497,15,London,"Nov 2, 1961"
51.5074456,-0.1277653,2497,15,London,"Nov 2, 1961"
45.0677551,7.6824892,2510,16,Turin,"Nov 15, 1961"
45.0677551,7.6824892,2510,16,Turin,"Nov 15, 1961"
44.40726,8.9338624,2526,17,Genoa,"Dec 1, 1961"
44.40726,8.9338624,2526,17,Genoa,"Dec 1, 1961"
45.4371908,12.3345898,2533,17,Venice,"Dec 8, 1961"
45.4371908,12.3345898,2533,17,Venice,"Dec 8, 1961"
44.4938203,11.3426327,2540,17,Bologna,"Dec 15, 1961"
44.4938203,11.3426327,2540,17,Bologna,"Dec 15, 1961"
43.2961743,5.3699525,2561,18,Marseille,"Jan 5, 1962"
43.2961743,5.3699525,2561,18,Marseille,"Jan 5, 1962"
43.5515198,7.0134418,2562,18,Cannes,"Jan 6, 1962"
43.5515198,7.0134418,2562,18,Cannes,"Jan 6, 1962"
51.5074456,-0.1277653,2566,18,London,"Jan 10, 1962"
51.5074456,-0.1277653,2566,18,London,"Jan 10, 1962"
48.8588897,2.320041022,2568,18,Paris,"Jan 12, 1962"
48.8588897,2.320041022,2569,18,Paris,"Jan 13, 1962"
40.7127281,-74.0060152,2575,18,New York,"Jan 19, 1962"
