CITY1,CITY2,HEXCODE1,HEXCODE1R,HEXCODE2,HEXCODE3,HEXCODE4
Edinburgh,Edinburgh,#fd9740,#fd7c37,#79b5d9,#91a0cb,#87d1c0
Edinburgh,Glasgow,#fd9640,#fd7c37,#77b5d9,#909fcb,#86d0c0
Glasgow,Glasgow,#fd9640,#fd7e38,#77b5d9,#909fcb,#86d0c0
Glasgow,Madrid,grey,grey,grey,grey,grey
Madrid,Madrid,#fd953f,#fd7e38,#75b4d8,#909eca,#84cfc1
Madrid,Amsterdam,#fd953f,#fd8038,#75b4d8,#909eca,#84cfc1
Amsterdam,Amsterdam,#fd933f,#fd8038,#74b3d8,#8f9dc9,#83cfc1
Amsterdam,Vienna,grey,grey,grey,grey,grey
Vienna,Vienna,#fd933f,#fd8239,#74b3d8,#8f9dc9,#83cfc1
Vienna,Zurich,#fd923e,#fd8239,#72b2d8,#8f9bc9,#81cec2
Zurich,Zurich,#fd923e,#fd8439,#72b2d8,#8f9bc9,#81cec2
Zurich,Lugano,#fd913e,#fd8439,#71b1d7,#8e9ac8,#80cec2
Lugano,Lugano,#fd913e,#fd863a,#71b1d7,#8e9ac8,#80cec2
Lugano,Lausanne,#fd913e,#fd863a,#71b1d7,#8e9ac8,#80cec2
Lausanne,Lausanne,#fd903d,#fd863a,#6fb0d7,#8d99c8,#7fcdc3
Lausanne,Basel,#fd903d,#fd883b,#6fb0d7,#8d99c8,#7fcdc3
Basel,Basel,#fd8f3d,#fd883b,#6dafd7,#8d98c7,#7dcdc3
Basel,Bregenz,#fd8f3d,#fd8a3b,#6dafd7,#8d98c7,#7dcdc3
Bregenz,Bregenz,#fd8f3d,#fd8a3b,#6dafd7,#8d98c7,#7dcdc3
Bregenz,Gallen,#fd8e3c,#fd8a3b,#6caed6,#8c97c6,#7cccc4
Gallen,Gallen,#fd8e3c,#fd8c3c,#6caed6,#8c97c6,#7cccc4
Gallen,Geneva,#fd8e3c,#fd8c3c,#6caed6,#8c97c6,#7cccc4
Geneva,Geneva,#fd8c3c,#fd8e3c,#6aaed6,#8c95c6,#7accc4
Geneva,The Hague,#fd8c3c,#fd8e3c,#6aaed6,#8c95c6,#7accc4
The Hague,The Hague,#fd8a3b,#fd8e3c,#69add5,#8c94c5,#79cbc5
The Hague,New York,#fd8a3b,#fd8f3d,#69add5,#8c94c5,#79cbc5
New York,New York,#fd8a3b,#fd8f3d,#69add5,#8c94c5,#79cbc5
New York,Brooklin,grey,grey,grey,grey,grey
Brooklin,Brooklin,#fd883b,#fd903d,#68acd5,#8c93c4,#77cac5
Brooklin,London,grey,grey,grey,grey,grey
London,London,#fd863a,#fd913e,#66abd4,#8c91c4,#76c9c6
London,Manchester,#fd863a,#fd913e,#66abd4,#8c91c4,#76c9c6
Manchester,Manchester,#fd8439,#fd913e,#65aad4,#8c90c3,#75c8c6
Manchester,London,#fd8439,#fd923e,#65aad4,#8c90c3,#75c8c6
London,London,#fd8239,#fd923e,#64a9d3,#8c8fc2,#73c8c7
London,New York,#fd8239,#fd933f,#64a9d3,#8c8fc2,#73c8c7
New York,New York,#fd8239,#fd933f,#64a9d3,#8c8fc2,#73c8c7
New York,London,grey,grey,grey,grey,grey
London,London,#fd8038,#fd953f,#63a8d3,#8c8dc2,#72c7c7
London,Paris,grey,grey,grey,grey,grey
Paris,Paris,#fd7e38,#fd9640,#61a7d2,#8c8cc1,#70c6c8
Paris,Los Angeles,grey,grey,grey,grey,grey
Los Angeles,Los Angeles,#fd7c37,#fd9640,#60a7d2,#8c8bc0,#6fc5c8
