LATITUDE,LONGITUDE,ALTITUDE,GROUP,CITY,DATE
55.9533456,-3.1883749,0,1,Edinburgh,"Sep 1, 1975"
55.9533456,-3.1883749,0,1,Edinburgh,"Sep 1, 1975"
55.861155,-4.2501687,6,1,Glasgow,"Sep 7, 1975"
55.861155,-4.2501687,6,1,Glasgow,"Sep 7, 1975"
40.4167047,-3.7035825,15,2,Madrid,"Sep 16, 1975"
40.4167047,-3.7035825,15,2,Madrid,"Sep 16, 1975"
52.3730796,4.8924534,21,2,Amsterdam,"Sep 22, 1975"
52.3730796,4.8924534,21,2,Amsterdam,"Sep 22, 1975"
48.2083537,16.3725042,46,3,Vienna,"Oct 17, 1975"
48.2083537,16.3725042,46,3,Vienna,"Oct 17, 1975"
47.3744489,8.5410422,49,3,Zurich,"Oct 20, 1975"
47.3744489,8.5410422,49,3,Zurich,"Oct 20, 1975"
46.0050102,8.9520281,50,3,Lugano,"Oct 21, 1975"
46.0050102,8.9520281,50,3,Lugano,"Oct 21, 1975"
46.5218269,6.6327025,52,3,Lausanne,"Oct 23, 1975"
46.5218269,6.6327025,52,3,Lausanne,"Oct 23, 1975"
47.5581077,7.5878261,53,3,Basel,"Oct 24, 1975"
47.5581077,7.5878261,53,3,Basel,"Oct 24, 1975"
47.5025779,9.7472924,54,3,Bregenz,"Oct 25, 1975"
47.5025779,9.7472924,54,3,Bregenz,"Oct 25, 1975"
51.4312285,12.5495463,55,3,Gallen,"Oct 26, 1975"
51.4312285,12.5495463,55,3,Gallen,"Oct 26, 1975"
46.2017559,6.1466014,56,3,Geneva,"Oct 27, 1975"
46.2017559,6.1466014,56,3,Geneva,"Oct 27, 1975"
52.0799838,4.3113461,58,3,The Hague,"Oct 29, 1975"
52.0799838,4.3113461,58,3,The Hague,"Oct 29, 1975"
40.7127281,-74.0060152,61,3,New York,"Nov 1, 1975"
40.7127281,-74.0060152,61,3,New York,"Nov 1, 1975"
40.691392,-73.982469,77,4,Brooklin,"Nov 17, 1975"
40.691392,-73.982469,77,4,Brooklin,"Nov 17, 1975"
51.5074456,-0.1277653,91,5,London,"Dec 1, 1975"
51.5074456,-0.1277653,91,5,London,"Dec 1, 1975"
53.4794892,-2.2451148,93,5,Manchester,"Dec 3, 1975"
53.4794892,-2.2451148,93,5,Manchester,"Dec 3, 1975"
51.5074456,-0.1277653,94,5,London,"Dec 4, 1975"
51.5074456,-0.1277653,94,5,London,"Dec 4, 1975"
40.7127281,-74.0060152,98,5,New York,"Dec 8, 1975"
40.7127281,-74.0060152,98,5,New York,"Dec 8, 1975"
51.5074456,-0.1277653,121,6,London,"Dec 31, 1975"
51.5074456,-0.1277653,121,6,London,"Dec 31, 1975"
48.8588897,2.320041022,133,7,Paris,"Jan 12, 1976"
48.8588897,2.320041022,133,7,Paris,"Jan 12, 1976"
34.0536909,-118.242766,167,8,Los Angeles,"Feb 15, 1976"
34.0536909,-118.242766,167,8,Los Angeles,"Feb 15, 1976"
