LATITUDE,LONGITUDE,CITY,ALTITUDE
55.9533456,-3.1883749,Edinburgh,0
55.861155,-4.2501687,Glasgow,6
40.4167047,-3.7035825,Madrid,15
52.3730796,4.8924534,Amsterdam,21
48.2083537,16.3725042,Vienna,46
47.3744489,8.5410422,Zurich,49
46.0050102,8.9520281,Lugano,50
46.5218269,6.6327025,Lausanne,52
47.5581077,7.5878261,Basel,53
47.5025779,9.7472924,Bregenz,54
51.4312285,12.5495463,Gallen,55
46.2017559,6.1466014,Geneva,56
52.0799838,4.3113461,The Hague,58
40.691392,-73.982469,Brooklin,77
53.4794892,-2.2451148,Manchester,93
40.7127281,-74.0060152,New York,98
51.5074456,-0.1277653,London,121
48.8588897,2.320041022,Paris,133
34.0536909,-118.242766,Los Angeles,167
